weight,dob,height,player,link,team,position,nationality,color
87,11-02-1981,186,Michael Theo,http://www.footballaustralia.com.au/brisbaneroar/Players/Michael-Theo/16,brisbaneroar,Goalkeeper,Australia,#c28a64
85,03-06-1992,184,Matthew Acton,http://www.footballaustralia.com.au/brisbaneroar/Players/Matthew-Acton/3949,brisbaneroar,Goalkeeper,Australian,#DA9D8A
78,07-01-1982,180,Jade North,http://www.footballaustralia.com.au/brisbaneroar/Players/Jade-North/35,brisbaneroar,Defender,Australian,#b2775a
69,07-01-1994,174,Corey Brown,http://www.footballaustralia.com.au/brisbaneroar/Players/Corey-Brown/3859,brisbaneroar,Defender,Australian,#ca927f
null,14-05-1993,null,James Donachie,http://www.footballaustralia.com.au/brisbaneroar/Players/James-Donachie/4382,brisbaneroar,Central Defender,Australian,#d59b8c
68,26-09-1990,170,Jack Hingert,http://www.footballaustralia.com.au/brisbaneroar/Players/Jack-Hingert/1805,brisbaneroar,Central Defender,Australia,#BA663A
77,10-09-1987,180,Ivan Franjic,http://www.footballaustralia.com.au/brisbaneroar/Players/Ivan-Franjic/1850,brisbaneroar,Central Defender,Australia,#b87e66
80,15-10-1982,180,Matt Smith,http://www.footballaustralia.com.au/brisbaneroar/Players/Matt-Smith/1920,brisbaneroar,Central Defender,Australia,#DA9D8A
78,11-01-1980,177,Shane Stefanutto,http://www.footballaustralia.com.au/brisbaneroar/Players/Shane-Stefanutto/1924,brisbaneroar,Central Defender,Australia,#DA9D9A
65,11-01-1983,171,Matthew McKay,http://www.footballaustralia.com.au/brisbaneroar/players/Matthew-McKay/150,brisbaneroar,Midfielder,Australian,#e4ab92
69,23-04-1992,186,George Lambadaridis,http://www.footballaustralia.com.au/brisbaneroar/players/George-Lambadaridis/4633,brisbaneroar,Midfielder,Australian,#c79079
71,13-02-1981,173,Liam Miller,http://www.footballaustralia.com.au/brisbaneroar/players/Liam-Miller/6333,brisbaneroar,Midfielder,Irish,#b9826a
null,14-08-1993,null,Jai Ingham,http://www.footballaustralia.com.au/brisbaneroar/players/Jai-Ingham/12170,brisbaneroar,Midfielder,Australian,#de906e
null,16-10-1995,null,Devante Clut,http://www.footballaustralia.com.au/brisbaneroar/players/Devante-Clut/12173,brisbaneroar,Midfielder,Australian,#e8aa84
65,07-03-1990,175,Luke Brattan,http://www.footballaustralia.com.au/brisbaneroar/players/Luke-Brattan/1831,brisbaneroar,Central Midfielder,England,#cd947b
73,28-01-1981,182,Thomas Broich,http://www.footballaustralia.com.au/brisbaneroar/players/Thomas-Broich/1833,brisbaneroar,Central Midfielder,Germany,#CF9476
75,05-10-1989,179,Diogo Ferreira,http://www.footballaustralia.com.au/brisbaneroar/players/Diogo-Ferreira/1847,brisbaneroar,Central Midfielder,Australia,#c08564
80,29-07-1985,185,Besart Berisha,http://www.footballaustralia.com.au/brisbaneroar/players/Besart-Berisha/3966,brisbaneroar,Striker,Albanian,#c38d7b
64,30-09-1994,165,Julius Doe,http://www.footballaustralia.com.au/brisbaneroar/players/Julius-Doe/4992,brisbaneroar,Striker,null,#2D221B
79,25-07-1995,178,Brandon Borrello,http://www.footballaustralia.com.au/brisbaneroar/players/Brandon-Borrello/5754,brisbaneroar,Striker,Australian,#df9d80
62,16-05-1996,173,Patrick Theodore,http://www.footballaustralia.com.au/brisbaneroar/players/Patrick-Theodore/5758,brisbaneroar,Striker,Australian,#d2957f
60,09-05-1985,165,Henrique,http://www.footballaustralia.com.au/brisbaneroar/players/-Henrique/1862,brisbaneroar,Striker,Brazilian,#AF6741
80,10-11-1992,176,Dimitrios Petratos,http://www.footballaustralia.com.au/brisbaneroar/players/Dimitrios-Petratos/1905,brisbaneroar,Striker,Australian,#df9d82
75,07-01-1988,180,Jean Carlo Solorzano,http://www.footballaustralia.com.au/brisbaneroar/players/Jean%20Carlo-Solorzano/1921,brisbaneroar,Striker,Costa Rica,#845641
91,11-06-1981,186,Eugene Galekovic,http://www.footballaustralia.com.au/adelaideunited/players/Eugene-Galekovic/6,adelaideunited,Goalkeeper,Australian,#c88b77
83,23-10-1994,195,John Hall,http://www.footballaustralia.com.au/adelaideunited/players/John-Hall/4800,adelaideunited,Goalkeeper,Australian
80,06-01-1995,183,Paul Izzo,http://www.footballaustralia.com.au/adelaideunited/players/Paul-Izzo/4924,adelaideunited,Goalkeeper,Australian,#b7775b
81,21-09-1982,186,Jonathan McKain,http://www.footballaustralia.com.au/adelaideunited/players/Jonathan-McKain/4644,adelaideunited,Defender,Australia,#c18269
null,02-03-1994,null,Jordan Elsey,http://www.footballaustralia.com.au/adelaideunited/players/Jordan-Elsey/4811,adelaideunited,Defender,Australian,#ce9683
77,19-10-1991,189,Daniel Bowles,http://www.footballaustralia.com.au/adelaideunited/players/Daniel-Bowles/4905,adelaideunited,Defender,Australian,#dba180
75,01-01-1987,180,Tarek Elrich,http://www.footballaustralia.com.au/adelaideunited/players/Tarek-Elrich/6572,adelaideunited,Defender,Australian,#a96d51
88,14-08-1986,189,Nigel Boogaard,http://www.footballaustralia.com.au/adelaideunited/players/Nigel-Boogaard/27,adelaideunited,Central Defender,Australian,#ca8f77
86,29-05-1990,194,Antony Golec,http://www.footballaustralia.com.au/adelaideunited/players/Antony-Golec/4106,adelaideunited,Central Defender,Australian,#ca8a72
null,11-09-1988,null,Michael Zullo,http://www.footballaustralia.com.au/adelaideunited/players/Michael-Zullo/3121,adelaideunited,Left Full Back,Australian,#bc8168
71,08-01-1980,168,Cássio José de Abreu Oliveira,http://www.footballaustralia.com.au/adelaideunited/players/C%c3%a1ssio%20Jos%c3%a9-de%20Abreu%20Oliveira/1836,adelaideunited,Left Full Back,Brazilian/Australian,#ad6c4c
70,01-09-1993,177,Marcelo Carrusca,http://www.footballaustralia.com.au/adelaideunited/players/Marcelo-Carrusca/5606,adelaideunited,Midfielder,Argentinean,#bc7f62
72,03-05-1989,178,Fabio Ferreira,http://www.footballaustralia.com.au/adelaideunited/players/Fabio-Ferreira/5607,adelaideunited,Midfielder,Portuguese,#bb7e62
null,15-09-1995,null,Awer Mabil,http://www.footballaustralia.com.au/adelaideunited/players/Awer-Mabil/6095,adelaideunited,Midfielder,null,#2B1D19
71,09-02-1987,173,Isaís Sánchez Cortés,http://www.footballaustralia.com.au/adelaideunited/players/Isa%c3%adas-S%c3%a1nchez%20Cort%c3%a9s/6528,adelaideunited,Midfielder,Spanish,#cf9275
null,12-04-1991,174,Steven Lustica,http://www.footballaustralia.com.au/adelaideunited/players/Steven-Lustica/6577,adelaideunited,Midfielder,Australian,#b9816d
null,26-06-1996,null,Nathan Konstandopoulos,http://www.footballaustralia.com.au/adelaideunited/players/Nathan-Konstandopoulos/77340,adelaideunited,Midfielder,null
75,07-05-1993,181,Jake Barker-Daish,http://www.footballaustralia.com.au/adelaideunited/players/Jake-Barker-Daish/1824,adelaideunited,Midfielder,Australian,#96593a
75,30-09-1990,185,Osama Malik,http://www.footballaustralia.com.au/adelaideunited/players/Osama-Malik/1879,adelaideunited,Midfielder,Australian,#c4805e
78,31-05-1987,182,Cameron Watson,http://www.footballaustralia.com.au/adelaideunited/players/Cameron-Watson/1939,adelaideunited,Central Midfielder,Australian,#b87a62
73,04-04-1995,174,Jacob Melling,http://www.footballaustralia.com.au/adelaideunited/players/Jacob-Melling/3868,adelaideunited,Central Midfielder,Australian,#d99a84
84,25-03-1987,184,Bruce Djite,http://www.footballaustralia.com.au/adelaideunited/players/Bruce-Djite/272,adelaideunited,Striker,Australian,#552D21
70,18-05-1996,169,Teeboy Kamara,http://www.footballaustralia.com.au/adelaideunited/players/Teeboy-Kamara/4921,adelaideunited,Striker,Australian,#3d201a
70,03-06-1986,172,Jeronimo Neumann,http://www.footballaustralia.com.au/adelaideunited/players/Jeronimo-Neumann/5608,adelaideunited,Striker,Argentinean,#c68770
63,09-03-1985,163,Sergio Cirio,http://www.footballaustralia.com.au/adelaideunited/players/Sergio-Cirio/6529,adelaideunited,Striker,Spanish,#c18268
null,01-05-1994,null,Anthony Costa,http://www.footballaustralia.com.au/adelaideunited/players/Anthony-Costa/77328,adelaideunited,Striker,null
76,21-08-1981,177,Ryan Griffiths,http://www.footballaustralia.com.au/adelaideunited/players/Ryan-Griffiths/1859,adelaideunited,Left Wing,Australia
78,30-05-1985,189,Justin Pasfield,http://www.footballaustralia.com.au/centralcoastmariners/players/Justin-Pasfield/55,centralcoastmariners,Goalkeeper,Australian,#c8927a
81,23-08-1993,185,David Bradasevic,http://www.footballaustralia.com.au/centralcoastmariners/players/David-Bradasevic/4878,centralcoastmariners,Goalkeeper,Australia,#be7352
90,08-08-1981,188,Liam Reddy,http://www.footballaustralia.com.au/centralcoastmariners/players/Liam-Reddy/6570,centralcoastmariners,Goalkeeper,Australian,#c0917c
70,02-03-1994,187,Hayden Morton,http://www.footballaustralia.com.au/centralcoastmariners/players/Hayden-Morton/4877,centralcoastmariners,Defender,Australian,#ea947f
72,04-07-1994,176,Michael Neill,http://www.footballaustralia.com.au/centralcoastmariners/players/Michael-Neill/5898,centralcoastmariners,Defender,Australian,#b98f7f
90,30-04-1991,191,Zachary Anderson,http://www.footballaustralia.com.au/centralcoastmariners/players/Zachary-Anderson/1818,centralcoastmariners,Defender,Australian,#bb8b7b
73,13-01-1993,178,Storm Roux,http://www.footballaustralia.com.au/centralcoastmariners/players/Storm-Roux/6540,centralcoastmariners,Right Full Back,New Zealander/Australian,#c59c8b
75,05-01-1992,184,Trent Sainsbury,http://www.footballaustralia.com.au/centralcoastmariners/players/Trent-Sainsbury/1915,centralcoastmariners,Central Defender,Australian,#c27155
80,05-04-1982,188,Marcel Seip,http://www.footballaustralia.com.au/centralcoastmariners/players/Marcel-Seip/6539,centralcoastmariners,Central Defender,Dutch,#cb7a65
76,16-12-1981,179,Joshua Rose,http://www.footballaustralia.com.au/centralcoastmariners/players/Joshua-Rose/130,centralcoastmariners,Central Defender,Australian,#b2816d
80,24-03-1990,185,Brent Griffiths,http://www.footballaustralia.com.au/centralcoastmariners/players/Brent-Griffiths/4107,centralcoastmariners,Central Defender,Australian,#c08c79
75,28-10-1981,175,Nick Montgomery,http://www.footballaustralia.com.au/centralcoastmariners/players/Nick-Montgomery/5721,centralcoastmariners,Midfielder,British,#d68c7b
76,23-10-1985,180,Marcos Flores,http://www.footballaustralia.com.au/centralcoastmariners/players/Marcos-Flores/6538,centralcoastmariners,Attacking Midfielder,Argentinean,#bd6a4c
68,07-01-1987,175,Michael McGlinchey,http://www.footballaustralia.com.au/centralcoastmariners/players/Michael-McGlinchey/1885,centralcoastmariners,Right Midfielder,New Zealander/Scottish,#ab7f6f
79,29-12-1979,179,John Hutchinson,http://www.footballaustralia.com.au/centralcoastmariners/players/John-Hutchinson/101,centralcoastmariners,Central Midfielder,Australian,#c66f54
67,29-09-1992,173,Anthony Caceres,http://www.footballaustralia.com.au/centralcoastmariners/players/Anthony-Caceres/4872,centralcoastmariners,Central Midfielder,Australian,#af8570
76,31-05-1983,179,Adam Kwasnik,http://www.footballaustralia.com.au/centralcoastmariners/players/Adam-Kwasnik/111,centralcoastmariners,Striker,Australian,#b88671
79,27-05-1979,181,Mile Sterjovski,http://www.footballaustralia.com.au/centralcoastmariners/players/Mile-Sterjovski/608,centralcoastmariners,Striker,Australian,#a2765d
88,12-09-1992,187,Bernie Ibini-Isei,http://www.footballaustralia.com.au/centralcoastmariners/players/Bernie-Ibini-Isei/3830,centralcoastmariners,Striker,Australian,#623d21
81,18-01-1991,182,Mitchell Duke,http://www.footballaustralia.com.au/centralcoastmariners/players/Mitchell-Duke/4098,centralcoastmariners,Striker,Australia,#ba8773
73,13-02-1992,175,Nick Fitzgerald,http://www.footballaustralia.com.au/centralcoastmariners/players/Nick-Fitzgerald/4159,centralcoastmariners,Striker,Australian,#d67c6a
78,21-01-1986,188,Matthew Simon,http://www.footballaustralia.com.au/centralcoastmariners/players/Matthew-Simon/1211,centralcoastmariners,Striker,Australia,#ad7f6d
88,23-04-1977,186,Daniel McBreen,http://www.footballaustralia.com.au/centralcoastmariners/players/Daniel-McBreen/1883,centralcoastmariners,Striker,Australian,#eaa88d
71,26-08-1996,175,Tom Slater,http://www.footballaustralia.com.au/centralcoastmariners/players/Tom-Slater/6541,centralcoastmariners,Left Wing,Australian,#c69f8e
90,13-06-1975,191,Ante Covic,http://www.footballaustralia.com.au/wswanderersfc/players/Ante-Covic/4506,wswanderersfc,Goalkeeper,Australian,#d28e75
84,21-09-1989,189,Jerrad Tyson,http://www.footballaustralia.com.au/wswanderersfc/players/Jerrad-Tyson/1932,wswanderersfc,Goalkeeper,Australian,#c58469
71,07-11-1986,183,Jerome Polenz,http://www.footballaustralia.com.au/wswanderersfc/players/Jerome-Polenz/5670,wswanderersfc,Defender,German,#cc866c
70,04-08-1984,177,Shannon Cole,http://www.footballaustralia.com.au/wswanderersfc/players/Shannon-Cole/1838,wswanderersfc,Defender,Australian,#dda188
88,08-03-1981,191,Michael Beauchamp,http://www.footballaustralia.com.au/wswanderersfc/players/Michael-Beauchamp/26,wswanderersfc,Central Defender,Australian,#db9c86
83,11-03-1985,189,Nikolai Topor-Stanley,http://www.footballaustralia.com.au/wswanderersfc/players/Nikolai-Topor-Stanley/250,wswanderersfc,Central Defender,Australian,#c17e5d
87,26-06-1988,193,Matthew Spiranovic,http://www.footballaustralia.com.au/wswanderersfc/players/Matthew-Spiranovic/2954,wswanderersfc,Central Defender,Australian,#d59070
79,20-10-1986,180,Adam D'Apuzzo,http://www.footballaustralia.com.au/wswanderersfc/players/Adam-D'Apuzzo/5669,wswanderersfc,Left Full Back,Australian,#db9a78
79,19-05-1980,186,Dean Heffernan,http://www.footballaustralia.com.au/wswanderersfc/players/Dean-Heffernan/102,wswanderersfc,Left Full Back,Australian,#d99b84
75,10-09-1989,181,Mateo Poljak,http://www.footballaustralia.com.au/wswanderersfc/players/Mateo-Poljak/5671,wswanderersfc,Midfielder,Croatian,#d29077
64,26-09-1995,175,Nicholas Olsen,http://www.footballaustralia.com.au/wswanderersfc/players/Nicholas-Olsen/6533,wswanderersfc,Midfielder,Australian,#c69489
74,27-09-1979,175,Shinji Ono,http://www.footballaustralia.com.au/wswanderersfc/players/Shinji-Ono/980,wswanderersfc,Midfielder,Japanese,#b77453
68,03-06-1988,170,Jason Trifiro,http://www.footballaustralia.com.au/wswanderersfc/players/Jason-Trifiro/5578,wswanderersfc,Midfielder,Australian,#d58a71
68,08-03-1994,183,Yianni Perkatis,http://www.footballaustralia.com.au/wswanderersfc/players/Yianni-Perkatis/3865,wswanderersfc,Midfielder,Australian,#deac95
75,15-09-1990,175,Aaron Mooy,http://www.footballaustralia.com.au/wswanderersfc/players/Aaron-Mooy/3916,wswanderersfc,Attacking Midfielder,Australian,#e3a695
75,17-02-1984,187,Iacopo La Rocca,http://www.footballaustralia.com.au/wswanderersfc/players/Iacopo-La%20Rocca/5666,wswanderersfc,Central Midfielder,Italian,#d2977d
62,20-08-1982,168,Youssouf Hersi,http://www.footballaustralia.com.au/wswanderersfc/players/Youssouf-Hersi/5664,wswanderersfc,Right Wing,Dutch,#6e4431
86,10-01-1995,190,Josh Barresi,http://www.footballaustralia.com.au/wswanderersfc/players/Josh-Barresi/6226,wswanderersfc,Striker,Australian,#d59174
69,13-02-1989,172,Tahj Minniecon,http://www.footballaustralia.com.au/wswanderersfc/players/Tahj-Minniecon/1890,wswanderersfc,Striker,Australian,#b77857
78,07-11-1985,176,Mark Bridge,http://www.footballaustralia.com.au/wswanderersfc/players/Mark-Bridge/90,wswanderersfc,Striker,Australian,#d0856a
75,26-10-1985,183,Labinot Haliti,http://www.footballaustralia.com.au/wswanderersfc/players/Labinot-Haliti/92,wswanderersfc,Striker,Australian,#cf8e77
72,09-09-1982,175,Brendon Santalab,http://www.footballaustralia.com.au/wswanderersfc/players/Brendon-Santalab/4211,wswanderersfc,Striker,Australian,#db9479
85,22-07-1991,189,Tomi Juric,http://www.footballaustralia.com.au/wswanderersfc/players/Tomi-Juric/4426,wswanderersfc,Striker,Australian,#e09b82
70,19-05-1992,178,Kwabena Appiah-Kubi,http://www.footballaustralia.com.au/wswanderersfc/players/Kwabena-Appiah-Kubi/4870,wswanderersfc,Striker,Australian,#57352F
84,13-01-1989,194,Andrew Redmayne,http://www.footballaustralia.com.au/melbourneheart/players/Andrew-Redmayne/1909,melbourneheart,Goalkeeper,Australian,#cd9e86
75,17-04-1987,186,Tando Velaphi,http://www.footballaustralia.com.au/melbourneheart/players/Tando-Velaphi/1936,melbourneheart,Goalkeeper,Australia,#9d6c49
68,28-08-1993,173,Jeremy Walker,http://www.footballaustralia.com.au/melbourneheart/players/Jeremy-Walker/6249,melbourneheart,Defender,Australian,#c1957f
76,24-03-1981,184,Patrick Kisnorbo,http://www.footballaustralia.com.au/melbourneheart/players/Patrick-Kisnorbo/6581,melbourneheart,Defender,Australian,#b86b42
63,16-12-1990,170,Aziz Behich,http://www.footballaustralia.com.au/melbourneheart/players/Aziz-Behich/1826,melbourneheart,Defender,Australia,#b58768
86,31-07-1985,184,Patrick Gerhardt Nyema,http://www.footballaustralia.com.au/melbourneheart/players/Patrick-Gerhardt%20Nyema/5390,melbourneheart,Central Defender,Liberian,#b9653c
80,29-12-1978,180,Rob Wielaert,http://www.footballaustralia.com.au/melbourneheart/players/Rob-Wielaert/6527,melbourneheart,Central Defender,Dutch,#bc6443
80,11-11-1993,181,David Vrankovic,http://www.footballaustralia.com.au/melbourneheart/players/David-Vrankovic/4616,melbourneheart,Central Defender,Australian/Serbian,#b98c71
70,26-09-1992,180,Sam Mitchinson,http://www.footballaustralia.com.au/melbourneheart/players/Sam-Mitchinson/5144,melbourneheart,Left Full Back,Australian,#d07e5a
70,15-06-1995,174,Ben Garuccio,http://www.footballaustralia.com.au/melbourneheart/players/Ben-Garuccio/5379,melbourneheart,Midfielder,Australian,#bc8f78
78,27-02-1988,170,Iain Ramsay,http://www.footballaustralia.com.au/melbourneheart/players/Iain-Ramsay/1907,melbourneheart,Midfielder,Australia,#cd7a55
60,01-09-1984,165,Massimo Murdocca,http://www.footballaustralia.com.au/melbourneheart/players/Massimo-Murdocca/143,melbourneheart,Central Midfielder,Australia,#c06f4e
65,01-01-1988,170,Jonatan Germano,http://www.footballaustralia.com.au/melbourneheart/players/Jonatan-Germano/3969,melbourneheart,Central Midfielder,Argentinian,#ce7552
63,04-03-1993,170,Paulo Retre,http://www.footballaustralia.com.au/melbourneheart/players/Paulo-Retre/4904,melbourneheart,Central Midfielder,Australia,#d2af8a
69,12-10-1995,176,Stefan Mauk,http://www.footballaustralia.com.au/melbourneheart/players/Stefan-Mauk/6098,melbourneheart,Central Midfielder,Australia,#b7896f
93,24-08-1979,196,Orlando Engelaar,http://www.footballaustralia.com.au/melbourneheart/players/Orlando-Engelaar/6531,melbourneheart,Central Midfielder,Dutch,#d26d59
75,28-01-1989,189,Jason Hoffman,http://www.footballaustralia.com.au/melbourneheart/players/Jason-Hoffman/1864,melbourneheart,Central Midfielder,Australian,#b98f77
79,15-10-1987,189,Nick Kalmar,http://www.footballaustralia.com.au/melbourneheart/players/Nick-Kalmar/1873,melbourneheart,Central Midfielder,Australian, VIC,#df8f73
78,22-09-1978,180,Harry Kewell,http://www.footballaustralia.com.au/melbourneheart/players/Harry-Kewell/461,melbourneheart,Striker,Australian,#d57e68
75,22-10-1989,174,Mate Dugandzic,http://www.footballaustralia.com.au/melbourneheart/players/Mate-Dugandzic/1845,melbourneheart,Striker,Australian,#d48468
73,28-08-1990,182,Golgol Mebrahtu,http://www.footballaustralia.com.au/melbourneheart/players/Golgol-Mebrahtu/1887,melbourneheart,Striker,Australian
70,26-02-1988,177,David Williams,http://www.footballaustralia.com.au/melbourneheart/players/David-Williams/1942,melbourneheart,Striker,Australian,#dba58e
