weight,dob,height,player,link,team,position,nationality,color
82,01-06-1984,186,Nathan Coe,http://www.footballaustralia.com.au/melbournevictory/players/Nathan-Coe/3122,melbournevictory,Goalkeeper,Australian,#c19070
80,05-05-1992,182,Lawrence Thomas,http://www.footballaustralia.com.au/melbournevictory/players/Lawrence-Thomas/4367,melbournevictory,Goalkeeper,Australian,#c99b81
70,10-05-1993,178,Jason Geria,http://www.footballaustralia.com.au/melbournevictory/players/Jason-Geria/5970,melbournevictory,Defender,Australian,#493630
80,02-02-1994,179,Nicholas Ansell,http://www.footballaustralia.com.au/melbournevictory/players/Nicholas-Ansell/6075,melbournevictory,Defender,null,#bc8e7a
70,25-04-1995,172,Scott Galloway,http://www.footballaustralia.com.au/melbournevictory/players/Scott-Galloway/6103,melbournevictory,Defender,Australian,#e2a292
78,11-09-1978,181,Pablo Contreras,http://www.footballaustralia.com.au/melbournevictory/players/Pablo-Contreras/6578,melbournevictory,Defender,Chilean
80,25-03-1986,186,Adrian Leijer,http://www.footballaustralia.com.au/melbournevictory/players/Adrian-Leijer/8,melbournevictory,Central Defender,Australia,#c39170
75,03-02-1990,170,Adama Traore,http://www.footballaustralia.com.au/melbournevictory/players/Adama-Traore/1800,melbournevictory,Left Full Back,Ivorian,#52382b
79,24-09-1985,184,Guilherme Finkler,http://www.footballaustralia.com.au/melbournevictory/players/Guilherme-Finkler/5383,melbournevictory,Midfielder,null,#bc8c71
76,20-04-1992,178,Rashid Mahazi,http://www.footballaustralia.com.au/melbournevictory/players/Rashid-Mahazi/6611,melbournevictory,Midfielder,Australian,#9f7a56
60,14-08-1996,170,Jordan Brown,http://www.footballaustralia.com.au/melbournevictory/players/Jordan-Brown/6078,melbournevictory,Midfielder,Australian,#c47259
78,04-08-1985,178,Mark Milligan,http://www.footballaustralia.com.au/melbournevictory/players/Mark-Milligan/53,melbournevictory,Midfielder,Australian,#e28162
80,16-12-1992,186,Tom Rogic,http://www.footballaustralia.com.au/melbournevictory/players/Tom-Rogic/137344,melbournevictory,Midfielder,Australian,#af834d
77,18-04-1994,177,Jesse Makarounas,http://www.footballaustralia.com.au/melbournevictory/players/Jesse-Makarounas/6104,melbournevictory,Attacking Midfielder,Australian,#b58567
70,12-01-1988,169,Leigh Broxham,http://www.footballaustralia.com.au/melbournevictory/players/Leigh-Broxham/1213,melbournevictory,Central Midfielder,Australia,#c99d8b
66,12-02-1992,179,James Jeggo,http://www.footballaustralia.com.au/melbournevictory/players/James-Jeggo/3970,melbournevictory,Central Midfielder,Australia,#c79781
70,23-10-1978,174,Archibald Thompson,http://www.footballaustralia.com.au/melbournevictory/players/Archibald-Thompson/17,melbournevictory,Striker,Australia,#ab7a5b
81,03-07-1988,180,James Troisi,http://www.footballaustralia.com.au/melbournevictory/players/James-Troisi/3016,melbournevictory,Striker,Australian,#b5866b
77,25-07-1991,182,Francesco Stella,http://www.footballaustralia.com.au/melbournevictory/players/Francesco-Stella/4458,melbournevictory,Striker,Australian,#c19479
80,17-12-1992,175,Andrew Nabbout,http://www.footballaustralia.com.au/melbournevictory/players/Andrew-Nabbout/5768,melbournevictory,Striker,Australia,#ba8767
68,11-11-1993,175,Connor Pain,http://www.footballaustralia.com.au/melbournevictory/players/Connor-Pain/6076,melbournevictory,Striker,Australian,#c19481
71,19-02-1990,171,Kosta Barbarouses,http://www.footballaustralia.com.au/melbournevictory/players/Kosta-Barbarouses/6532,melbournevictory,Striker,New Zealand,#bc9177
83,14-02-1987,189,Ben Kennedy,http://www.footballaustralia.com.au/newcastlejets/players/Ben-Kennedy/281,newcastlejets,Goalkeeper,Australia,#d8b49c
null,null,null,John Solari,http://www.footballaustralia.com.au/newcastlejets/players/John-Solari/6542,newcastlejets,Goalkeeper,null,#c28268
84,17-04-1991,187,Mark Birighitti,http://www.footballaustralia.com.au/newcastlejets/players/Mark-Birighitti/1828,newcastlejets,Goalkeeper,Australia,#c58061
70,31-10-1994,170,Connor Chapman,http://www.footballaustralia.com.au/newcastlejets/players/Connor-Chapman/4963,newcastlejets,Defender,Australian,#d6a298
78,11-01-1989,184,Scott Neville,http://www.footballaustralia.com.au/newcastlejets/players/Scott-Neville/1898,newcastlejets,Defender,Australia,#d89787
72,08-05-1992,180,Jacob Pepper,http://www.footballaustralia.com.au/newcastlejets/players/Jacob-Pepper/3979,newcastlejets,Right Full Back,Australia,#d09481
77,16-11-1988,187,Taylor Regan,http://www.footballaustralia.com.au/newcastlejets/players/Taylor-Regan/1910,newcastlejets,Central Defender,Australia,#d08a74
68,15-09-1978,183,Kew Jaliens,http://www.footballaustralia.com.au/newcastlejets/players/Kew-Jaliens/2502,newcastlejets,Central Defender,null,#6b4130
80,15-03-1992,181,Samuel Gallaway,http://www.footballaustralia.com.au/newcastlejets/players/Samuel-Gallaway/1853,newcastlejets,Central Defender,null,#d18c6e
80,07-06-1984,184,Josh Mitchell,http://www.footballaustralia.com.au/newcastlejets/players/Josh-Mitchell/1891,newcastlejets,Central Defender,Australia,#d78f74
74,23-05-1986,180,Ruben Zadkovich,http://www.footballaustralia.com.au/newcastlejets/players/Ruben-Zadkovich/259,newcastlejets,Midfielder,Australia,#d28b77
63,18-09-1994,165,Mitch Cooper,http://www.footballaustralia.com.au/newcastlejets/players/Mitch-Cooper/3853,newcastlejets,Midfielder,Australian,#c9805f
60,18-02-1995,180,Mitchell Oxborrow,http://www.footballaustralia.com.au/newcastlejets/players/Mitchell-Oxborrow/3861,newcastlejets,Midfielder,null,#dea396
73,25-03-1993,177,Joshua Brillante,http://www.footballaustralia.com.au/newcastlejets/players/Joshua-Brillante/1832,newcastlejets,Midfielder,Australia,#e9a88f
76,19-02-1990,180,James Brown,http://www.footballaustralia.com.au/newcastlejets/players/James-Brown/1834,newcastlejets,Midfielder,Australia,#c67f62
79,24-03-1985,183,Nick Ward,http://www.footballaustralia.com.au/newcastlejets/players/Nick-Ward/159,newcastlejets,Attacking Midfielder,Australia,#c59283
66,17-05-1983,170,Zenon Caravella,http://www.footballaustralia.com.au/newcastlejets/players/Zenon-Caravella/126,newcastlejets,Central Midfielder,Australian,#c4866b
74,21-01-1992,183,Benjamin Kantarovski,http://www.footballaustralia.com.au/newcastlejets/players/Benjamin-Kantarovski/1874,newcastlejets,Central Midfielder,Australia,#c6836c
75,22-10-1993,178,Andrew Hoole,http://www.footballaustralia.com.au/newcastlejets/players/Andrew-Hoole/4615,newcastlejets,Right Wing,Australian,#d59e8c
69,21-08-1979,186,Joel Griffiths,http://www.footballaustralia.com.au/newcastlejets/players/Joel-Griffiths/280,newcastlejets,Striker,Australia,#cf9e82
69,05-08-1978,185,Michael Bridges,http://www.footballaustralia.com.au/newcastlejets/players/Michael-Bridges/4095,newcastlejets,Striker,Australia,#ce846e
93,11-01-1978,186,Emile Heskey,http://www.footballaustralia.com.au/newcastlejets/players/Emile-Heskey/4306,newcastlejets,Striker,English,#533930
null,null,null,Joey Gibbs,http://www.footballaustralia.com.au/newcastlejets/players/Joey-Gibbs/5839,newcastlejets,Striker,null,#dea897
69,02-06-1993,183,Adam Taggart,http://www.footballaustralia.com.au/newcastlejets/players/Adam-Taggart/1927,newcastlejets,Striker,Australia,#cc8b73
72,08-07-1992,175,James Virgili,http://www.footballaustralia.com.au/newcastlejets/players/James-Virgili/1937,newcastlejets,Striker,Australia,#be795c
83,16-12-1991,193,Craig Goodwin,http://www.footballaustralia.com.au/newcastlejets/players/Craig-Goodwin/4939,newcastlejets,Left Wing,Australian,#e3a390
104,27-03-1985,187,Danny Vukovic,http://www.footballaustralia.com.au/perthglory/players/Danny-Vukovic/112,perthglory,Goalkeeper,Australia,#b4664d
79,19-04-1993,190,Jack Duncan,http://www.footballaustralia.com.au/perthglory/players/Jack-Duncan/3968,perthglory,Goalkeeper,Australia,#d48c71
74,10-04-1995,190,Luke Radonich,http://www.footballaustralia.com.au/perthglory/players/Luke-Radonich/6498,perthglory,Goalkeeper,Australian,#997e7f
74,07-02-1995,179,Matthew Davies,http://www.footballaustralia.com.au/perthglory/players/Matthew-Davies/5868,perthglory,Defender,Australian,#a65b3b
83,17-08-1977,183,William Gallas,http://www.footballaustralia.com.au/perthglory/players/William-Gallas/22026,perthglory,Defender,French,#8E583E
76,27-07-1992,175,Joshua Risdon,http://www.footballaustralia.com.au/perthglory/players/Joshua-Risdon/1911,perthglory,Right Full Back,Australia,#bf7459
84,02-05-1983,190,Michael Thwaite,http://www.footballaustralia.com.au/perthglory/players/Michael-Thwaite/619,perthglory,Central Defender,Australia,#c4735b
72,16-02-1992,180,Jack Clisby,http://www.footballaustralia.com.au/perthglory/players/Jack-Clisby/4377,perthglory,Central Defender,Australian,#d48b70
70,23-05-1995,174,Riley Woodcock,http://www.footballaustralia.com.au/perthglory/players/Riley-Woodcock/5866,perthglory,Left Full Back,Australian,#cb7e63
71,12-10-1988,177,Scott Jamieson,http://www.footballaustralia.com.au/perthglory/players/Scott-Jamieson/1869,perthglory,Left Full Back,Australia,#c47b61
67,27-03-1995,182,Cameron Edwards,http://www.footballaustralia.com.au/perthglory/players/Cameron-Edwards/4912,perthglory,Midfielder,Australian,#a25b3e
60,06-03-1997,170,Danny De Silva,http://www.footballaustralia.com.au/perthglory/players/Danny-De%20Silva/5698,perthglory,Midfielder,Australian,#be7659
74,null,176,Sidnei Sciola Moraes,http://www.footballaustralia.com.au/perthglory/players/Sidnei%20Sciola-Moraes/6543,perthglory,Midfielder,Brazilian,#7F3220
null,17-11-1993,null,Ryan Edwards,http://www.footballaustralia.com.au/perthglory/players/Ryan-Edwards/4099,perthglory,Midfielder,Australia,#98593f
78,28-09-1979,178,Steven McGarry,http://www.footballaustralia.com.au/perthglory/players/Steven-McGarry/1884,perthglory,Attacking Midfielder,Scotland,#c8765c
75,20-04-1978,175,Jacob Burns,http://www.footballaustralia.com.au/perthglory/players/Jacob-Burns/343,perthglory,Central Midfielder,Australia,#cc7f5e
78,12-04-1994,179,Brandon O'Neill,http://www.footballaustralia.com.au/perthglory/players/Brandon-O'Neill/4653,perthglory,Central Midfielder,Australian,#b36f57
72,07-04-1989,179,Isaka Cernak,http://www.footballaustralia.com.au/perthglory/players/Isaka-Cernak/6545,perthglory,Central Midfielder,null,#69402b
83,06-01-1980,177,Travis Dodd,http://www.footballaustralia.com.au/perthglory/players/Travis-Dodd/72,perthglory,Right Wing,Australia,#9a6a50
65,26-06-1994,172,Harry O'Brien,http://www.footballaustralia.com.au/perthglory/players/Harry-O'Brien/5872,perthglory,Right Wing,English / Australian,#c67c63
78,13-07-1992,176,Chris Harold,http://www.footballaustralia.com.au/perthglory/players/Chris-Harold/1802,perthglory,Right Wing,Australia,#af6b4d
80,29-09-1981,185,Shane Smeltz,http://www.footballaustralia.com.au/perthglory/players/Shane-Smeltz/1798,perthglory,Striker,New Zealand,#cd8165
73,29-07-1993,177,Jamie Maclaren,http://www.footballaustralia.com.au/perthglory/players/Jamie-Maclaren/4434,perthglory,Striker,Australian,#ca8870
76,04-03-1992,181,Ndumba Makeche,http://www.footballaustralia.com.au/perthglory/players/Ndumba-Makeche/4994,perthglory,Striker,Zambia,#773c28
65,24-09-1990,169,Adrian Zahra,http://www.footballaustralia.com.au/perthglory/players/Adrian-Zahra/1946,perthglory,Left Wing,Australia,#aa6442
90,24-02-1980,190,Ivan Necevski,http://www.footballaustralia.com.au/sydneyfc/players/Ivan-Necevski/231,sydneyfc,Goalkeeper,Australian,#be7754
84,20-08-1987,187,Vedran Janjetovic,http://www.footballaustralia.com.au/sydneyfc/players/Vedran-Janjetovic/5362,sydneyfc,Goalkeeper,Australian,#b28c6f
86,01-11-1995,192,Anthony Bouzanis,http://www.footballaustralia.com.au/sydneyfc/players/Anthony-Bouzanis/5869,sydneyfc,Goalkeeper,Australian / Greek,#c1937f
82,06-06-1993,187,Daniel Petkovski,http://www.footballaustralia.com.au/sydneyfc/players/Daniel-Petkovski/4785,sydneyfc,Defender,Australian,#a67f60
null,28-03-1986,187,Nikola Petkovic,http://www.footballaustralia.com.au/sydneyfc/players/Nikola-Petkovic/6610,sydneyfc,Defender,Serbian
82,19-05-1981,188,Tiago Coelho Branco Calvano,http://www.footballaustralia.com.au/sydneyfc/players/Tiago%20Coelho-Branco%20Calvano/6100,sydneyfc,Defender,Brazilian,#b87954
74,26-02-1991,174,Rhyan Grant,http://www.footballaustralia.com.au/sydneyfc/players/Rhyan-Grant/1856,sydneyfc,Defender,Australia,#c29b83
75,09-05-1984,180,Pedj Bojic,http://www.footballaustralia.com.au/sydneyfc/players/Pedj-Bojic/1829,sydneyfc,Right Full Back,Australian,#d3a385
76,null,186,Aaron Calver,http://www.footballaustralia.com.au/sydneyfc/players/Aaron-Calver/6091,sydneyfc,Central Defender,Australian,#f1afa1
84,07-12-1989,190,Matthew Jurman,http://www.footballaustralia.com.au/sydneyfc/players/Matthew-Jurman/1872,sydneyfc,Central Defender,Australia,#a8846a
75,16-07-1989,180,Sebastian Ryall,http://www.footballaustralia.com.au/sydneyfc/players/Sebastian-Ryall/1913,sydneyfc,Central Defender,Australian,#cd9178
68,11-02-1992,172,Marc Warren,http://www.footballaustralia.com.au/sydneyfc/players/Marc-Warren/3948,sydneyfc,Left Full Back,Australian,#d28e70
72,04-09-1981,180,Richard Garcia,http://www.footballaustralia.com.au/sydneyfc/players/Richard-Garcia/3836,sydneyfc,Midfielder,Australian,#ba9376
60,08-04-1995,168,Hagi Gligor,http://www.footballaustralia.com.au/sydneyfc/players/Hagi-Gligor/4670,sydneyfc,Midfielder,Australian,#ad8465
null,18-08-1982,182,Matthew Thompson,http://www.footballaustralia.com.au/sydneyfc/players/Matthew-Thompson/7162,sydneyfc,Midfielder,Australian,#6f503d
70,16-05-1995,177,Dylan Caton,http://www.footballaustralia.com.au/sydneyfc/players/Dylan-Caton/22032,sydneyfc,Midfielder,Australian,#c69d87
null,16-02-1984,180,Milos Dimitrijevic,http://www.footballaustralia.com.au/sydneyfc/players/Milos-Dimitrijevic/126433,sydneyfc,Midfielder,Serbian
70,30-08-1986,170,Ali Abbas,http://www.footballaustralia.com.au/sydneyfc/players/Ali-Abbas/1815,sydneyfc,Midfielder,Iraqi,#B28060
68,15-11-1993,178,Terry Antonis,http://www.footballaustralia.com.au/sydneyfc/players/Terry-Antonis/1820,sydneyfc,Midfielder,Australian,#ECB4A3
65,17-01-1992,170,Peter Triantis,http://www.footballaustralia.com.au/sydneyfc/players/Peter-Triantis/6085,sydneyfc,Central Midfielder,Australian,#b08468
78,23-11-1981,174,Nick Carle,http://www.footballaustralia.com.au/sydneyfc/players/Nick-Carle/25,sydneyfc,Central Midfielder,Australia,#997453
76,27-03-1981,174,Terry McFlynn,http://www.footballaustralia.com.au/sydneyfc/players/Terry-McFlynn/56,sydneyfc,Central Midfielder,Northern Irish (now Australian citizen),#b58f7d
74,09-11-1974,174,Alessandro Del Piero,http://www.footballaustralia.com.au/sydneyfc/players/Alessandro-Del%20Piero/854,sydneyfc,Striker,Italian,#996f55
67,07-02-1993,177,Corey Gameiro,http://www.footballaustralia.com.au/sydneyfc/players/Corey-Gameiro/3956,sydneyfc,Striker,Australian,#c9a18f
75,15-02-1990,176,Joel Chianese,http://www.footballaustralia.com.au/sydneyfc/players/Joel-Chianese/3960,sydneyfc,Striker,Australian,#cd8a6b
73,18-04-1991,176,Blake Powell,http://www.footballaustralia.com.au/sydneyfc/players/Blake-Powell/4745,sydneyfc,Striker,Australian,#c09c84
80,22-03-1992,180,Mitchell Mallia,http://www.footballaustralia.com.au/sydneyfc/players/Mitchell-Mallia/5242,sydneyfc,Striker,Australia,#b89076
70,29-06-1995,182,Chris Naumoff,http://www.footballaustralia.com.au/sydneyfc/players/Chris-Naumoff/6618,sydneyfc,Striker,Australian,#977a62
73,15-02-1994,180,Alec Urosevski,http://www.footballaustralia.com.au/sydneyfc/players/Alec-Urosevski/22038,sydneyfc,Striker,Australian,#9f7659
null,21-01-1983,186,Ranko Despotovic,http://www.footballaustralia.com.au/sydneyfc/players/Ranko-Despotovic/77341,sydneyfc,Striker,Serbian,#90765b
90,19-01-1983,187,Glen Moss,http://www.footballaustralia.com.au/wellingtonphoenix/players/Glen-Moss/135,wellingtonphoenix,Goalkeeper,New Zealand/Australian,#aa7a5e
85,03-03-1987,187,Jacob Spoonley,http://www.footballaustralia.com.au/wellingtonphoenix/players/Jacob-Spoonley/5805,wellingtonphoenix,Goalkeeper,null,#b5765d
90,10-12-1990,192,Lewis Italiano,http://www.footballaustralia.com.au/wellingtonphoenix/players/Lewis-Italiano/6432,wellingtonphoenix,Goalkeeper,Australia,#af8269
null,03-04-1993,null,Louis Fenton,http://www.footballaustralia.com.au/wellingtonphoenix/players/Louis-Fenton/5694,wellingtonphoenix,Right Full Back,New Zealander,#cc7c65
null,18-08-1988,null,Michael Boxall,http://www.footballaustralia.com.au/wellingtonphoenix/players/Michael-Boxall/5769,wellingtonphoenix,Central Defender,New Zealander,#a87357
null,08-05-1994,185,Luke Adams,http://www.footballaustralia.com.au/wellingtonphoenix/players/Luke-Adams/6433,wellingtonphoenix,Central Defender,New Zealand,#d48168
75,03-05-1982,182,Andrew Durante,http://www.footballaustralia.com.au/wellingtonphoenix/players/Andrew-Durante/81,wellingtonphoenix,Central Defender,Australian,#a07758
73,07-12-1984,177,Manny Muscat,http://www.footballaustralia.com.au/wellingtonphoenix/players/Manny-Muscat/1896,wellingtonphoenix,Central Defender,Australian,#b96649
84,02-02-1981,180,Ben Sigmund,http://www.footballaustralia.com.au/wellingtonphoenix/players/Ben-Sigmund/1916,wellingtonphoenix,Central Defender,New Zealander,#af7c5e
null,28-10-1992,null,Josh Brindell-South,http://www.footballaustralia.com.au/wellingtonphoenix/players/Josh-Brindell-South/6609,wellingtonphoenix,Left Full Back,Australian,#de8f86
null,07-01-1993,null,Reece Caira,http://www.footballaustralia.com.au/wellingtonphoenix/players/Reece-Caira/6525,wellingtonphoenix,Left Full Back,Australian,#ad806d
null,null,null,Albert Riera Vidal,http://www.footballaustralia.com.au/wellingtonphoenix/players/Albert-Riera%20Vidal/7159,wellingtonphoenix,Midfielder,null,#b66a50
null,12-06-1996,null,Alex Rufer,http://www.footballaustralia.com.au/wellingtonphoenix/players/Alex-Rufer/7160,wellingtonphoenix,Midfielder,New Zealander,#af856c
null,null,null,Jason Hicks,http://www.footballaustralia.com.au/wellingtonphoenix/players/Jason-Hicks/7161,wellingtonphoenix,Midfielder,null,#bc7d6b
null,null,null,Matthew Ridenton,http://www.footballaustralia.com.au/wellingtonphoenix/players/Matthew-Ridenton/101888,wellingtonphoenix,Midfielder,null
null,09-04-1982,170,Carlos Hernandez,http://www.footballaustralia.com.au/wellingtonphoenix/players/Carlos-Hernandez/6434,wellingtonphoenix,Attacking Midfielder,Costa Rica,#885a3c
73,17-03-1985,177,Vince Lia,http://www.footballaustralia.com.au/wellingtonphoenix/players/Vince-Lia/9,wellingtonphoenix,Central Midfielder,Australia,#a46f51
76,20-12-1981,177,Leo Bertos,http://www.footballaustralia.com.au/wellingtonphoenix/players/Leo-Bertos/262,wellingtonphoenix,Right Wing,New Zealander,#a47455
null,16-06-1982,null,Stijn Huysegems,http://www.footballaustralia.com.au/wellingtonphoenix/players/Stijn-Huysegems/5692,wellingtonphoenix,Striker,Belgium,#b68970
null,30-12-1994,null,Tyler Boyd,http://www.footballaustralia.com.au/wellingtonphoenix/players/Tyler-Boyd/5693,wellingtonphoenix,Striker,New Zealander,#b58573
70,20-08-1987,170,Roy Krishna,http://www.footballaustralia.com.au/wellingtonphoenix/players/Roy-Krishna/106830,wellingtonphoenix,Striker,Fijian
80,20-10-1979,185,Paul Ifill,http://www.footballaustralia.com.au/wellingtonphoenix/players/Paul-Ifill/1868,wellingtonphoenix,Striker,Barbadian,#8b4421
80,07-10-1987,183,Jeremy Brockie,http://www.footballaustralia.com.au/wellingtonphoenix/players/Jeremy-Brockie/128,wellingtonphoenix,Striker,New Zealander,#b5866f
